,name,age,position1,position2,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating
120,Clint Dempsey USA,39, M(CL),FW,4,387,-,1.5,29.3,81.2,-,0.5,-,7.19
121,José Holebas Greece,38, D(CL),M(L),4,391,-,1.3,33.3,82.7,2.3,1.5,-,7.19
122,Rafik Halliche Algeria,36, D(C),,4,367,-,-,34.3,80.3,-,3.5,-,7.18
123,Matt Besler USA,35, D(C),,4,347,-,-,37.0,87.8,-,4.3,-,7.18
124,Mesut Özil Germany,34, M(CLR),,7,655,1,2.4,52.3,86.9,0.6,1.0,0.3,7.17
125,Abel Aguilar Colombia,37, M(C),,3,238,2,1.3,41.7,84.8,-,2.0,-,7.17
126,Marco Verratti Italy,30, M(C),,2,133,1,1.5,52.0,96.2,-,1.5,-,7.17
127,Jonathan Mensah Ghana,32, D(CR),,3,270,-,0.7,42.7,83.6,-,4.3,0.3,7.17
128,Thiago Silva Brazil,38, D(C),,6,571,-,0.5,45.0,87.4,-,5.8,-,7.16
129,Andrés Iniesta Spain,38, M(CL),,3,270,1,2,70.7,85.8,1,1.7,0.7,7.15
130,Héctor Moreno Mexico,34, D(CL),,4,317,-,-,36.0,83.3,-,2.3,-,7.15
131,Mamadou Sakho France,32, D(C),,4,289,-,-,49.3,91.4,-,3.3,-,7.15
132,Maza Rodríguez Mexico,41, D(C),,4,360,-,-,41.5,81.9,-,2.8,-,7.15
133,Francisco Silva Chile,36, D(C),M(C),3,281,-,0.7,52.7,81.0,-,5.7,-,7.14
134,Emmanuel Emenike Nigeria,35, AM(R),FW,4,360,2,2.3,20.0,75.0,-,0.3,0.3,7.14
135,Dirk Kuyt Netherlands,42, M(CLR),FW,5,511,-,0.8,56.4,75.2,0.4,3.4,0.2,7.14
136,Axel Witsel Belgium,33, D(C),M(C),4,390,-,1,54.5,91.7,-,2.5,-,7.14
137,Admir Mehmedi Switzerland,31, M(CLR),FW,3(1),338,-,0.5,33.5,77.6,-,0.3,-,7.13
138,Juan Mata Spain,34, AM(CLR),,0(1),33,-,1,34.0,94.1,1,-,-,7.12
139,Atsuto Uchida Japan,34, D(R),M(R),3,270,-,1.3,31.0,80.6,1,1.7,-,7.12
140,Jordy Clasie Netherlands,31, D(C),DMC,1(1),149,-,-,38.5,84.4,0.5,3,-,7.12
141,Dmitri Kombarov Russia,35, D(L),M(L),3,270,1,2,36.3,76.1,2,0.3,-,7.11
142,Tino-Sven Susic Bosnia and Herzegovina,30, M(C),,1(1),105,1,1,31.0,90.3,1,1,0.5,7.11
143,Charles Aránguiz Chile,33, M(C),,4,365,1,1,35.5,86.6,-,2.5,-,7.1
144,Vincent Kompany Belgium,36, D(C),,4,390,-,1,51.0,87.3,-,7.5,0.3,7.1
145,Julian Green USA,27, M(CL),FW,0(1),14,-,2,4.0,75.0,1,-,-,7.09
146,Cristian Gamboa Costa Rica,33, D(R),M(R),5,426,-,0.2,24.2,68.6,0.2,0.2,-,7.09
147,Marcelo Brazil,34, D(L),M(L),6,571,2,1.7,48.2,83.0,0.2,2,0.2,7.08
148,Toby Alderweireld Belgium,33, D(CR),,4,390,-,1.8,44.5,79.8,0.5,6,-,7.08
149,Hong Jeong-Ho South Korea,33, D(C),,3,252,-,-,38.3,81.7,-,5,-,7.08
150,Frickson Erazo Ecuador,34, D(C),,3,270,-,0.3,27.0,76.5,-,3.3,-,7.08
151,Michael Umaña Costa Rica,40, Defender,,4,422,-,0.3,28.5,86.8,-,4.0,-,7.07
152,Wayne Rooney England,37, M(CLR),FW,2(1),194,1,1.7,24.7,82.4,0.7,2.7,-,7.07
153,Ivan Rakitic Croatia,34, M(C),,3,270,1,1.3,56.3,86.4,1.7,8.3,-,7.07
154,Luke Shaw England,27, D(CL),M(L),1,90,-,-,49.0,83.7,-,1.0,-,7.07
155,Pablo Zabaleta Argentina,37, D(R),DMC,7,721,-,0.3,39.4,82.2,0.3,1.6,-,7.06
156,Óscar Duarte Costa Rica,33, D(C),DMC,4,336,-,-,37.8,84.8,-,2.3,-,7.06
157,Júnior Díaz Costa Rica,39, D(CL),,5,512,1,0.4,30.4,69.1,0.4,1.8,-,7.06
158,Giannis Maniatis Greece,36, D(R),M(CR),4,349,-,0.3,40.8,83.4,-,3.8,-,7.06
159,James Milner England,36, D(LR),M(CLR),1,76,-,1,26.0,69.2,1,1.0,-,7.06
160,Leonardo Bonucci Italy,35, D(C),,1,90,-,-,42.0,83.3,-,2,-,7.06
161,Marouane Fellaini Belgium,34, M(C),,4(1),415,-,0.8,34.8,76.4,-,-,-,7.05
162,Lazaros Christodoulopoulos Greece,35, AM(CLR),FW,2,211,-,0.5,30.0,93.3,-,1,-,7.04
163,Cristián Zapata Colombia,36, D(C),,4,360,-,-,29.3,82.9,-,3.8,-,7.04
164,Mousa Dembélé Belgium,35, M(CR),,2,155,-,1,45.5,92.3,-,2.5,-,7.04
165,Bastian Schweinsteiger Germany,38, D(C),M(C),5(1),505,-,0.8,71.5,89.5,0.2,4,0.2,7.03
166,Ogenyi Onazi Nigeria,29, DMC,,4,330,-,0.8,57.0,83.8,-,4.3,-,7.03
167,Andreas Samaris Greece,33, D(C),DMC,1(1),136,-,-,35.5,85.9,-,5.5,-,7.03
168,Djamel Mesbah Algeria,38, D(L),M(L),2,180,-,1,32.5,92.3,1,0.5,-,7.03
169,Guillermo Ochoa Mexico,37, GK,,4,360,-,-,23.0,62.0,-,6,-,7.02
170,Andrea Barzagli Italy,41, D(CR),,3,270,-,0.3,63.7,94.2,-,4.7,-,7.02
171,Darijo Srna Croatia,40, D(R),,3,270,-,0.7,30.0,80.0,1,3,0.3,7.01
172,Mario Götze Germany,30, M(CLR),FW,3(3),258,-,0.3,21.7,83.8,0.3,0.3,0.2,7.0
173,Wesley Sneijder Netherlands,38, AM(CL),,6,587,1,1.7,48.8,79.9,0.7,3.7,0.2,7.0
174,Gianluigi Buffon Italy,44, GK,,2,180,-,-,22.0,86.4,-,2,-,7.0
175,André Schürrle Germany,32, M(CLR),FW,0(6),244,1,0.5,20.0,83.3,0.2,0.7,0.2,6.99
176,Jorge Sammir Cruz Campos Croatia,35, AM(C),FW,1,72,-,3,24.0,83.3,-,-,1,6.99
177,Sami Khedira Germany,35, M(C),,4(1),376,1,1,45.4,85.0,0.2,0.8,-,6.99
178,Islam Slimani Algeria,34, FW,,3(1),324,1,0.8,23.5,61.7,-,0.3,-,6.99
179,Edin Dzeko Bosnia and Herzegovina,36, FW,,3,264,-,1,22.0,78.8,-,1,0.3,6.99
180,Carlos Sánchez Colombia,36, D(C),M(C),4,360,-,0.5,28.0,78.6,-,2.5,-,6.99
181,Henri Bedimo Cameroon,38, D(L),,1,90,-,3,24.0,91.7,-,-,-,6.98
182,Yuto Nagatomo Japan,36, D(LR),M(LR),3,270,1,2,28.0,89.3,1.7,0.7,-,6.98
183,John Obi Mikel Nigeria,35, M(C),,4,360,-,1.8,61.0,82.8,0.3,5,-,6.97
184,Éder Balanta Colombia,29, D(C),DMC,1,90,-,-,20.0,75.0,-,1,-,6.97
185,Panagiotis Glykos Greece,36, GK,,0(1),66,-,-,20.0,55.0,-,7,-,6.97
186,Miroslav Klose Germany,44, FW,,3(2),281,-,-,12.8,60.9,0.2,0.2,-,6.97
187,Carl Medjani Algeria,37, D(C),DMC,3,264,1,0.3,27.7,73.5,-,2,-,6.97
188,Jason Davidson Australia,31, D(CL),,3,270,-,1,42.7,73.4,1,1.7,-,6.96
189,Phil Jones England,30, D(CR),DMC,1,90,-,1,48.0,70.8,-,-,-,6.96
190,Joel Campbell Costa Rica,30, AM(LR),FW,5,416,1,0.4,22.0,75.5,0.2,0.8,0.2,6.95
191,Asmir Begovic Bosnia and Herzegovina,35, GK,,3,270,-,-,17.7,60.4,-,5,-,6.95
192,Miguel Veloso Portugal,36, M(C),,3,226,-,2.7,35.7,91.6,2.3,3.3,-,6.94
193,Omar González USA,34, D(C),,2(1),211,-,-,33.0,84.8,-,1.7,-,6.94
194,Maya Yoshida Japan,34, D(CR),,3,270,-,-,47.0,83.0,-,2,-,6.93
195,Senad Lulic Bosnia and Herzegovina,36, D(L),M(CL),2,148,1,2,29.0,84.5,-,1,0.5,6.93
196,Ivan Franjic Australia,35, Defender,,1,49,1,1,18.0,72.2,1,-,-,6.92
197,Raphaël Varane France,29, D(C),,4(1),389,-,0.4,36.2,93.9,-,3.6,-,6.92
198,Georginio Wijnaldum Netherlands,31, M(CLR),,5(2),552,-,0.3,32.4,87.7,0.1,2.7,-,6.92
199,DaMarcus Beasley USA,40, D(L),,4,390,-,0.3,37.3,89.3,0.5,1.3,-,6.91
200,José Basanta Argentina,38, D(C),,1(1),105,-,-,17.5,82.9,0.5,0.5,-,6.91
201,Viktor Faizulin Russia,36, M(C),,3,270,-,2.3,54.0,80.9,0.3,1.3,-,6.91
202,Pablo Armero Colombia,36, D(L),M(L),5,417,-,0.2,25.6,81.3,0.6,0.6,-,6.91
203,Juan Camilo Zuñiga Colombia,36, D(LR),M(L),4,360,-,-,35.0,83.6,-,1,-,6.91
204,Josip Drmic Switzerland,30, AM(LR),FW,3(1),253,2,1.3,8.3,84.8,0.3,-,0.3,6.91
205,Juan Paredes Ecuador,35, D(R),M(R),3,270,-,1.3,23.3,72.9,1,1,-,6.9
206,Giorgos Karagounis Greece,45, AM(C),,2(2),259,-,1,32.0,85.9,1.8,3.5,-,6.9
207,Madjid Bougherra Algeria,40, D(C),,2(1),202,-,-,29.0,86.2,-,3.3,-,6.89
208,Paul Aguilar Mexico,36, Midfielder,,4,360,-,0.5,29.5,76.3,0.8,1.3,-,6.89
209,Per Mertesacker Germany,38, D(C),,4(2),436,-,-,52.8,93.4,-,1.7,-,6.89
210,Nigel de Jong Netherlands,37, M(C),,5,341,-,-,30.0,82.7,-,5.6,-,6.88
211,Andrea Pirlo Italy,43, M(C),,3,270,-,1.3,89.7,92.9,0.3,8.3,1.3,6.88
212,Javad Nekounam Iran,42, D(C),M(CR),3,270,1,1.3,28.3,80.0,0.3,2.3,-,6.88
213,Ahmed Musa Nigeria,30, M(CLR),FW,4,335,-,0.3,13.8,69.1,0.8,0.5,-,6.88
214,Divock Origi Belgium,27, AM(LR),FW,2(3),246,-,0.6,9.0,80.0,0.2,0.2,0.2,6.87
215,Johan Djourou Switzerland,35, D(C),,4,390,-,0.3,38.8,91.0,-,3.3,-,6.87
216,Benoit Assou-Ekotto Cameroon,38, D(L),,2,180,-,3,31.0,69.4,2,1.5,-,6.87
217,Cristian Rodríguez Uruguay,37, AM(CL),,4,334,-,1,34.3,73.0,0.5,0.8,-,6.87
218,José Giménez Uruguay,27, D(CR),,3,270,-,-,21.0,66.7,-,3.3,-,6.87
219,Lee Chung-Yong South Korea,34, M(CLR),,3,244,-,1.7,33.7,84.2,1,1.0,-,6.87
220,Makoto Hasebe Japan,38, D(CR),M(CR),3,190,-,1.7,48.0,84.0,-,3.7,1,6.87
221,Eugenio Mena Chile,34, D(L),M(L),4,391,-,0.8,32.5,77.7,0.5,0.8,-,6.87
222,Peter Odemwingie Nigeria,41, AM(LR),FW,3(1),281,-,1,28.8,87.0,0.8,1.5,-,6.87
223,Ashkan Dejagah Iran,36, M(LR),,3,232,-,2.3,16.0,62.5,2.3,0.7,-,6.86
224,Thibaut Courtois Belgium,30, GK,,5,480,-,-,21.4,58.9,-,8.8,-,6.86
225,Adrián Ramos Colombia,36, FW,,1(2),140,1,1.3,16.0,66.7,0.3,-,0.3,6.85
226,Alireza Haghighi Iran,34, GK,,3,270,-,-,24.7,39.2,-,8,-,6.85
227,William Carvalho Portugal,30, DMC,,1(1),135,-,0.5,50.5,90.1,-,8.5,-,6.85
228,Daniel Sturridge England,33, M(R),FW,3,260,-,0.7,22.0,74.2,-,2,-,6.85
